+-------+-----+-------------------+
| Shows | ID  | Name              |
+-------+-----+-------------------+
|     7 | 211 | Henri Leroux      |
|     7 | 418 | Erik Larsen       |
|     7 | 213 | Claude Marchand   |
|     7 | 214 | Pascal Chevalier  |
|     7 | 212 | Henri Rolland     |
|     7 | 416 | Morten Andersen   |
|     7 | 415 | Harald Haugen     |
|     7 | 420 | Rune Johnsen      |
|     7 | 414 | Anders Moen       |
|     7 | 412 | Harald Berg       |
|     7 | 413 | Svein Haugen      |
|     7 | 210 | Olivier Perrot    |
|     7 | 419 | Steinar Johansen  |
|     8 |   3 | Chao Liu          |
|     8 |   4 | Kai Wu            |
|     8 |   5 | Jian He           |
|     8 |  12 | Hao Li            |
|     8 |  13 | Dong Liu          |
|     8 |  14 | Bo Ma             |
|     8 |  16 | Feng Luo          |
|     8 |  17 | Bo Xu             |
|     8 |  18 | Hao Gao           |
|     8 | 201 | Philippe Lefebvre |
|     8 | 202 | François Noël     |
|     8 | 203 | Roger Rolland     |
|     8 | 205 | Christian Girard  |
|     8 | 206 | Marc Lemoine      |
|     8 | 207 | Roger Faure       |
|     8 | 208 | André Perrin      |
|     8 | 209 | Roger Barbier     |
|     8 |  15 | Jie Li            |
|     8 | 215 | Claude Marchand   |
|     8 | 216 | Roger Colin       |
|     8 | 217 | Antoine Texier    |
|     8 | 218 | Paul Colin        |
|     8 | 219 | Georges Fournier  |
|     8 | 220 | Alain Besson      |
|     8 | 401 | Knut Haugen       |
|     8 | 402 | Trond Johnsen     |
|     8 | 403 | Erik Eriksen      |
|     8 | 404 | Leif Nilsen       |
|     8 | 405 | Lars Nilsen       |
|     8 | 407 | Leif Dahl         |
|     8 | 408 | Jan Nilsen        |
|     8 | 409 | Svein Eriksen     |
|     8 | 410 | Jan Eriksen       |
|     8 | 411 | Ola Pedersen      |
|     8 | 204 | Jean Langlois     |
|     8 | 417 | Vidar Eriksen     |
|     8 |   1 | Tao Zhu           |
|     8 | 406 | Steinar Moen      |
|     9 |  10 | Tao Li            |
|     9 |  20 | Jie Ma            |
|     9 |   9 | Wei Zhu           |
|     9 |   7 | Tao Luo           |
|     9 |   6 | Tao Gao           |
|     9 |  19 | Xiang Wang        |
|     9 |   2 | Peng He           |
|     9 |  11 | Hao Wu            |
|     9 |   8 | Ming Guo          |
+-------+-----+-------------------+
